hip_angle_l,hip_flexion_l_moment
5.406533966,0.594655827
5.406533966,0.60464325
5.406533966,0.609630382
5.406533966,0.609558428
5.402977758,0.604590221
5.396911318,0.594845924
5.390845168,0.580501619
5.384778729,0.561911794
5.307127887,0.539464662
5.22823709,0.513736209
5.149350054,0.485314203
5.022655685,0.45478481
4.818379193,0.422787204
4.61409296,0.390090672
4.409816468,0.357380684
4.140865885,0.325317664
3.849611259,0.294534034
3.558342745,0.265607247
3.248257146,0.238962185
2.823793639,0.214604832
2.39935037,0.19337806
1.974886863,0.175522786
1.44277379,0.161600577
0.817719436,0.151592972
0.192694886,0.14507763
-0.432359467,0.141902685
-1.307264095,0.141386058
-2.199581046,0.143633239
-3.091897997,0.148304994
-4.080674313,0.154239996
-5.261739747,0.160250407
-6.442748866,0.167352277
-7.6238143,0.175075447
-9.307959488,0.183342645
-11.26142589,0.191539254
-13.21479915,0.199057678
-15.16826555,0.205536355
-16.69870431,0.210608026
-18.22606664,0.214069968
-19.75335614,0.215723208
-21.31757837,0.215651703
-22.94394362,0.213929661
-24.57038643,0.210156463
-26.19675169,0.204366443
-27.33647917,0.197877964
-28.33111161,0.189960903
-29.32579148,0.18042551
-30.26673187,0.169442143
-30.9391365,0.157079117
-31.61150906,0.143827374
-32.28391369,0.129973784
-32.82326725,0.117532749
-33.22605995,0.106850483
-33.62885265,0.096459596
-34.03162615,0.086644351
-34.46411167,0.075605153
-34.90384213,0.065142574
-35.34359357,0.055970826
-35.80075765,0.048344403
-36.34013247,0.042701475
-36.87948157,0.038729147
-37.41885639,0.036457263
-37.97223396,0.035655391
-38.53629043,0.036295363
-39.10032,0.038401923
-39.66437647,0.041790092
-40.14670431,0.045765471
-40.62605818,0.050491352
-41.10538919,0.055666084
-41.51643108,0.061289406
-41.80726595,0.06725424
-42.09811469,0.072559798
-42.38894956,0.076818374
-42.62818225,0.079373069
-42.84311498,0.080013583
-43.05805796,0.078545583
-43.27059126,0.07470021
-43.3603578,0.068914694
-43.45012433,0.060344129
-43.53988658,0.048892651
-43.60784019,0.034380556
-43.63814075,0.016750703
-43.66844276,-0.003582517
-43.69874332,-0.026402103
-43.69678458,-0.051160694
-43.68465021,-0.077676021
-43.67251526,-0.105613772
-43.65571369,-0.134642307
-43.61399859,-0.164827914
-43.57228549,-0.19497683
-43.53057039,-0.224583108
-43.38352543,-0.252361781
-43.12684152,-0.277828983
-42.87016984,-0.301416523
-42.61348593,-0.322793585
-42.21324271,-0.341666687
-41.78324489,-0.357912905
-41.35326757,-0.371482912
-40.87176807,-0.382479846
-40.2070501,-0.391201941
-39.54230043,-0.397684628
-38.87758245,-0.402264039
-38.42922801,-0.40614162
-38.1443746,-0.409601737
-37.85953478,-0.412570094
-37.57468137,-0.415590106
-37.18459387,-0.419286311
-36.79047045,-0.424101329
-36.39636583,-0.430506363
-36.01372881,-0.438667956
-35.65166904,-0.448715756
-35.28959201,-0.461294597
-34.92753224,-0.476504707
-34.75167035,-0.494568523
-34.64246721,-0.515182136
-34.53325887,-0.537990841
