hip_angle_l,hip_flexion_l_moment,hip_angle_l_normalized,hip_flexion_l_moment_normalized
-32.27021149,0.065736688,0.2321257612686636,0.5604650171845172
-32.68236685,0.059985929,0.22375444305175837,0.5567287417786193
-33.09968084,0.055914459,0.21527834751667577,0.5540835025629173
-33.70645821,0.051808352,0.20295404715797882,0.5514157596444458
-34.31320664,0.049443367,0.19063033460177767,0.5498792258945846
-34.919984,0.048734958,0.1783060344461915,0.5494189716700525
-35.43616274,0.049658253,0.16782188960978517,0.5500188376009476
-35.82952127,0.052055907,0.15983235520711706,0.5515765964414855
-36.22286104,0.055515782,0.15184320184020636,0.5538244816110746
-36.61621958,0.059741653,0.1438536672344275,0.5565700353520326
-36.97042435,0.064695405,0.1366593877675397,0.559788494300585
-37.31562025,0.069786752,0.12964808813025974,0.5630963488949077
-37.66079969,0.074565705,0.12263712281326591,0.5662012407117692
-37.94933153,0.078813202,0.11677673111934443,0.5689608448923175
-38.0159591,0.082640407,0.11542345358223041,0.5714473848281468
-38.08258985,0.085005761,0.11407011145589968,0.5729841583177753
-38.14921742,0.0855625,0.11271683391878566,0.5733458723512106
-38.15814475,0.084386855,0.11253551025419153,0.5725820543057026
-38.12779231,0.081093038,0.1131520009238738,0.5704420572290335
-38.09744132,0.075212065,0.11376846214249793,0.5666211816224136
-38.06708889,0.066601799,0.11438495260906943,0.5610270808969198
-38.02473542,0.054350483,0.11524519709299454,0.5530673853748704
-37.98231258,0.039293734,0.11610685055615672,0.5432849964795124
-37.93989177,0.021512533,0.11696846278783761,0.531732527669112
-37.8702539,0.000839239,0.11838288275247785,0.5183010623736443
-37.75765892,-0.022688495,0.12066980777804616,0.5030150637948982
-37.64505857,-0.048280002,0.12295684187408425,0.48638822928418984
-37.53246359,-0.075590136,0.12524376689965255,0.46864480063486214
-37.38819361,-0.104179941,0.12817404520957562,0.4500699681160728
-37.23033255,-0.133647881,0.1313803729577286,0.4309246101755855
-37.07246397,-0.163563813,0.13458685344516166,0.411488191265296
-36.90978486,-0.193509508,0.1378910409657435,0.3920324352962103
-36.70363904,-0.223349474,0.14207808407081168,0.3726453715923352
-36.49750304,-0.252302382,0.14626492772112834,0.35383463059455933
-36.29135722,-0.279977485,0.15045197082619638,0.3358540811236817
-36.05528877,-0.305590648,0.15524677469802184,0.319213176682345
-35.78864923,-0.328853471,0.1606625102559659,0.30409929111582085
-35.5220224,-0.350010683,0.1660779876601532,0.2903534236828489
-35.25538286,-0.368931859,0.17149372321809725,0.2780603116711183
-34.99923664,-0.385816325,0.17669632817191222,0.26709045272597354
-34.7444003,-0.400481016,0.181872328055479,0.2575627844097749
-34.48957612,-0.413008254,0.1870480809563801,0.2494238220148578
-34.22795003,-0.423410068,0.1923619879579406,0.24266575028468695
-33.9493416,-0.431675895,0.19802082453219358,0.23729543201374081
-33.67074647,-0.438551447,0.20367939096915577,0.23282837717114127
-33.39213805,-0.444382791,0.20933822734029786,0.22903974558867865
-33.0273394,-0.449103583,0.21674767989296492,0.22597264104718073
-32.62136307,-0.453318035,0.22499349537128682,0.22323450624498542
-32.21540611,-0.457599753,0.23323891742409586,0.2204526686373947
-31.81279191,-0.462218421,0.241416444429555,0.21745191418804147
-31.45512742,-0.466644289,0.24868099452706466,0.2145764221428782
-31.09744588,-0.471995168,0.2559458909283943,0.21109994927944636
-30.73978139,-0.478429906,0.26321044102590385,0.2069192918509578
-30.50305111,-0.486440712,0.26801868737615653,0.2017146610467074
-30.40593813,-0.496083052,0.26999115634652726,0.1954500205362449
-30.30882052,-0.506781726,0.27196371935717273,0.1884990784880873
-30.21170754,-0.518357475,0.27393618832754346,0.1809782997015744
-30.21414457,-0.531111728,0.27388668962968804,0.17269184537363244
-30.23235835,-0.544257724,0.27351674818743016,0.1641508751224301
-30.250573,-0.557340921,0.2731467890745375,0.15565070546106563
-30.26878139,-0.569664107,0.2727769571089711,0.14764431590898966
-30.28697556,-0.580279838,0.27240741396688395,0.14074726203298316
-30.30516886,-0.589642934,0.2720378884954316,0.13466404670299592
-30.32336302,-0.59739574,0.27166834555645514,0.12962703882551427
-30.38954876,-0.603602791,0.27032404206138144,0.12559430992930162
-30.48055089,-0.607849504,0.26847569102053565,0.1228352151145463
-30.57154869,-0.609789999,0.26662742792664235,0.12157447305532111
-30.65906759,-0.609390101,0.26484982502977966,0.1218342872924101
-30.68831957,-0.607191642,0.2642556858851266,0.12326262888915851
-30.71757015,-0.602755746,0.26366157517597794,0.12614463613862265
-30.74682213,-0.596274753,0.2630674360313249,0.1303553454991953
-30.7181032,-0.588308236,0.26365074835772295,0.13553120168405167
-30.56641508,-0.579505561,0.2667316970617362,0.14125031078054026
-30.4147342,-0.569586392,0.2698124987135701,0.1476948074429192
-30.26304608,-0.558920669,0.27289344741758337,0.15462434118464286
-29.98512254,-0.54679123,0.2785383731400313,0.1625048530654295
-29.65761022,-0.534209451,0.2851905002667461,0.17067925081712526
-29.33011351,-0.52192,0.2918423103375881,0.17866372269697425
-29.02476749,-0.510392028,0.2980442160939163,0.1861534607060755
-28.8913625,-0.501180679,0.300753814782656,0.19213808581796832
-28.75795114,-0.49289688,0.30346354285294025,0.1975200805200768
-28.62454615,-0.485624592,0.30617314154167996,0.20224489524436054
-28.44947241,-0.47949578,0.30972907731542254,0.2062267921631799
-28.23435194,-0.474460856,0.3140984052051295,0.2094979886629403
-28.01922121,-0.470307939,0.3184679414864606,0.2121961440976987
-27.80410074,-0.466886543,0.32283726937616763,0.2144190294122525
-27.43971924,-0.464845976,0.33023824916411276,0.21574478837662348
