time_s,original_motorVel,filtered_motorVel,difference
0.0,-0.0109283,-0.010928299999999941,-5.898059818321144e-17
0.005,-1.2349,-0.013474855293792573,-1.2214251447062074
0.01,-2.458925,-0.025868776487239252,-2.4330562235127604
0.015,2.43707,-0.044231551414880464,2.48130155141488
0.02,-0.0109283,-0.05493253243663627,0.044004232436636266
0.025,-0.0109283,-0.058838746857421596,0.047910446857421594
0.03,2.43707,-0.056765574131657046,2.4938355741316567
0.035,1.213045,-0.041836624852327614,1.2548816248523276
0.04,-0.622915,-0.01960030123257093,-0.603314698767429
0.045,-1.84694,-0.0038865223892851596,-1.8430534776107148
0.05,0.601055,0.0021679036173833663,0.5988870963826166
0.055,-0.622915,0.00481115488048347,-0.6277261548804834
0.06,-1.84694,0.0019003467777130396,-1.848840346777713
0.065,-0.622915,-0.01094044830207597,-0.611974551697924
0.07,-1.2349,-0.03109185759356816,-1.203808142406432
0.075,-0.622915,-0.05620052705058348,-0.5667144729494165
0.08,1.213045,-0.08034578771749762,1.2933907877174975
0.085,-0.622915,-0.09835380173562111,-0.5245611982643789
0.09,0.601055,-0.11211382695318545,0.7131688269531855
0.095,0.601055,-0.12076817047109828,0.7218231704710982
0.1,1.825085,-0.11978869496822787,1.944873694968228
0.105,3.049055,-0.10274580742274829,3.1518008074227484
0.11,3.66104,-0.06287276746693991,3.7239127674669397
0.115,1.825085,-0.002077004250445515,1.8271620042504455
0.12,-1.84694,0.06251839815740806,-1.909458398157408
0.125,0.601055,0.11589532101643386,0.48515967898356616
0.13,-0.0109283,0.16028271929160512,-0.17121101929160512
0.135,0.601055,0.20025289662417672,0.4008021033758233
0.14,-0.0109283,0.23602441537550248,-0.24695271537550248
0.145,-1.2349,0.26400367923292634,-1.4989036792329264
0.15,-1.2349,0.2785638143670428,-1.513463814367043
0.155,0.601055,0.2825314318044884,0.3185235681955116
0.16,-0.0109283,0.2835616870024223,-0.2944899870024223
0.165,0.601055,0.284559101268213,0.316495898731787
0.17,-2.458925,0.28042625044123276,-2.7393512504412327
0.175,1.825085,0.26929116677213044,1.5557938332278696
0.18,-0.0109283,0.25976019427854485,-0.27068849427854486
0.185,-0.622915,0.25171247566947413,-0.8746274756694741
0.19,1.213045,0.2424832279893144,0.9705617720106855
0.195,-1.2349,0.2335699798988733,-1.4684699798988734
0.2,1.213045,0.2237342018123717,0.9893107981876282
0.205,1.213045,0.21826598195516533,0.9947790180448346
0.21,-0.622915,0.21793909647309573,-0.8408540964730957
0.215,-0.622915,0.21447502598618998,-0.83739002598619
0.22,-0.622915,0.20447423642925025,-0.8273892364292502
0.225,2.43707,0.19520214872679345,2.241867851273206
0.23,-0.0109283,0.19428477993400184,-0.20521307993400184
0.235,-0.0109283,0.19686727187162237,-0.20779557187162237
0.24,1.213045,0.19994473445792807,1.0131002655420718
0.245,1.825085,0.2097962986418573,1.6152887013581427
0.25,-1.84694,0.22294811243888543,-2.0698881124388855
0.255,-2.458925,0.22359922514371375,-2.6825242251437134
0.26,-0.622915,0.206937619428398,-0.8298526194283979
0.265,0.601055,0.18417549305034056,0.4168795069496595
0.27,-1.84694,0.1600833623998766,-2.0070233623998766
0.275,0.601055,0.1324810276539633,0.4685739723460367
0.28,-0.622915,0.10458289144653482,-0.7274978914465349
0.285,3.049055,0.08429793581363829,2.9647570641863616
0.29,1.213045,0.07975802981195693,1.133286970188043
0.295,-0.0109283,0.08648953997633584,-0.09741783997633584
0.3,-0.0109283,0.0941168768015562,-0.1050451768015562
0.305,0.601055,0.10119149112648906,0.49986350887351094
0.31,0.601055,0.11027002252068047,0.49078497747931954
0.315,-1.84694,0.11720691170775233,-1.9641469117077524
0.32,0.601055,0.1171184558784889,0.4839365441215111
0.325,0.601055,0.11597526998244198,0.485079730017558
0.33,1.213045,0.12028498711358523,1.0927600128864148
0.335,1.213045,0.13187787024353645,1.0811671297564636
0.34,1.213045,0.15102189340765776,1.0620231065923422
0.345,-0.622915,0.17279562444576166,-0.7957106244457617
0.35,-0.622915,0.18905003115981583,-0.8119650311598159
0.355,-2.458925,0.19269879128675288,-2.651623791286753
0.36,-0.0109283,0.18273787751782217,-0.19366617751782217
0.365,0.601055,0.16858824979619008,0.4324667502038099
0.37,-0.0109283,0.15725684950961266,-0.16818514950961266
0.375,1.825085,0.15103298242148075,1.6740520175785194
0.38,-0.622915,0.1506044965630723,-0.7735194965630723
0.385,-0.0109283,0.1501585502962891,-0.1610868502962891
0.39,-1.2349,0.14460780889994432,-1.3795078088999444
0.395,-0.0109283,0.13336219542244585,-0.14429049542244585
0.4,0.601055,0.1210457636995996,0.4800092363004004
0.405,-0.0109283,0.1117144645574086,-0.1226427645574086
0.41,1.213045,0.10634674073682983,1.10669825926317
0.415,1.825085,0.109585902553476,1.715499097446524
0.42,0.601055,0.12287764137154496,0.47817735862845506
0.425,-1.84694,0.1359437435919098,-1.9828837435919098
0.43,1.213045,0.1423370175134147,1.0707079824865853
0.435,-0.0109283,0.14793016037197063,-0.15885846037197063
0.44,-0.622915,0.15277657681218232,-0.7756915768121824
0.445,-1.2349,0.15056272091654113,-1.3854627209165413
0.45,-1.84694,0.13709481477939156,-1.9840348147793916
0.455,-0.0109283,0.11388917278143905,-0.12481747278143905
0.46,1.213045,0.09126710579534797,1.121777894204652
0.465,1.825085,0.07953051222447413,1.745554487775526
0.47,-2.458925,0.07359888726248502,-2.5325238872624847
0.475,1.213045,0.06388404944085137,1.1491609505591485
0.48,-0.622915,0.05348548993133819,-0.6764004899313382
0.485,0.601055,0.04512172264350939,0.5559332773564907
