epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.45313432812690735,1.1970824003219604,0.001,0.15670102834701538,1.7434533834457397
1,0.874626874923706,0.6219881772994995,0.001,0.17938144505023956,1.8947418928146362
2,0.9635820984840393,0.38404494524002075,0.001,0.1896907240152359,1.5808664560317993
3,0.9802985191345215,0.2819734215736389,0.001,0.2659793794155121,1.337900996208191
4,0.9904477596282959,0.20693285763263702,0.001,0.5793814659118652,1.0228745937347412
5,0.995223879814148,0.15702544152736664,0.001,0.876288652420044,0.7681896686553955
6,0.995223879814148,0.13536964356899261,0.001,0.954639196395874,0.5420126914978027
7,0.9970149397850037,0.10906221717596054,0.001,0.9752577543258667,0.394482284784317
8,0.997611939907074,0.08367202430963516,0.001,0.9876288771629333,0.2678370773792267
9,0.9994029998779297,0.07333263009786606,0.001,0.985567033290863,0.2391078621149063
10,0.9994029998779297,0.06288766860961914,0.001,0.9938144087791443,0.1668960005044937
11,0.9982089400291443,0.05491411313414574,0.001,0.991752564907074,0.1435551792383194
12,0.9988059997558594,0.05140817165374756,0.001,0.9938144087791443,0.11751165241003036
13,1.0,0.04715035855770111,0.001,0.9958763122558594,0.07076872885227203
14,0.9970149397850037,0.04407675564289093,0.001,0.9958763122558594,0.08265431970357895
15,0.995223879814148,0.052772801369428635,0.001,0.985567033290863,0.07966189831495285
16,1.0,0.036445554345846176,0.001,0.9958763122558594,0.06660174578428268
17,1.0,0.03033849224448204,0.001,0.9958763122558594,0.061661459505558014
18,1.0,0.027236906811594963,0.001,0.9958763122558594,0.038722749799489975
19,0.9994029998779297,0.024558838456869125,0.001,0.9958763122558594,0.03389858826994896
