timestamp,hip_angle_l,hip_angle_r,hip_angle_l_velocity,hip_angle_r_velocity,motor_torque_L_float,motor_torque_R_float,torque_L,torque_R
1762220158.2416854,10.319061750886311,-0.09063721059566242,0.24999999806340703,0.0,0.0,0.0,-0.0199999995529651,0.0299999993294477
1762220158.2516437,10.319061750886311,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0099999997764825
1762220158.2618456,10.319061750886311,-0.09063721059566242,0.24999999806340703,0.0,0.0,0.0,-0.0099999997764825,0.0099999997764825
1762220158.271696,10.324554930526292,-0.09063721059566242,0.2777777904484667,0.0,0.0,0.0,0.0,0.0099999997764825
1762220158.281811,10.324554930526292,-0.09063721059566242,0.33333334853815894,0.0,0.0,0.0,0.0,0.0099999997764825
1762220158.2919354,10.330047256392628,-0.09063721059566242,0.3055555561530992,0.0,0.0,0.0,0.0,-0.0199999995529651
1762220158.3019395,10.330047256392628,-0.09063721059566242,0.19444446665413626,0.0,0.0,0.0,-0.0099999997764825,0.0
1762220158.3119256,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0099999997764825
1762220158.322117,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0,0.0099999997764825
1762220158.3321712,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0199999995529651,0.0099999997764825
1762220158.3419683,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0199999995529651,0.0099999997764825
1762220158.351946,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0199999995529651,-0.0599999986588954
1762220158.3619308,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0199999995529651,-0.0599999986588954
1762220158.372092,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0199999995529651,-0.0700000002980232
1762220158.3818338,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0299999993294477,-0.0700000002980232
1762220158.39196,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0199999995529651,-0.0299999993294477
1762220158.4024105,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0099999997764825,-0.0700000002980232
1762220158.4118924,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,-0.0599999986588954
1762220158.4219377,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,-0.0700000002980232
1762220158.431949,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0199999995529651,-0.0599999986588954
1762220158.44217,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0099999997764825
1762220158.4522223,10.335540436032609,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0099999997764825
1762220158.462014,10.330047256392628,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0299999993294477
1762220158.4721682,10.330047256392628,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0199999995529651,0.0099999997764825
1762220158.4821582,10.330047256392628,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0299999993294477
1762220158.4920394,10.330047256392628,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0299999993294477
1762220158.5020566,10.330047256392628,-0.09063721059566242,-0.0,0.0,0.0,0.0,0.0,0.0299999993294477
1762220158.5120363,10.330047256392628,-0.09063721059566242,-0.0,-0.11111111617938439,0.0,0.0,-0.0099999997764825,0.050000000745058
1762220158.5219388,10.330047256392628,-0.09063721059566242,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0299999993294477
1762220158.5320966,10.330047256392628,-0.09613037689543355,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0099999997764825
1762220158.5421152,10.330047256392628,-0.09613037689543355,-0.0,0.0,0.0,0.0,0.0,0.0099999997764825
1762220158.5521078,10.330047256392628,-0.09613037689543355,-0.0,0.0,0.0,0.0,-0.0099999997764825,0.0099999997764825
