motorPos,motorVel,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,moment,label
158.626,494.426,-1.19682,-14.9701,10.5654,-50.89,19.25,169.19,-0.850394,0
153.95,441.926,-7.00434,-11.8112,8.23059,-70.63,32.55,157.29,-0.850394,0
150.109,311.309,-15.8824,-1.15758,3.61008,-58.1,41.51,126.07,-0.850394,0
148.105,139.163,-17.0694,10.3692,3.924,-50.54,24.99,66.78,-0.850394,0
147.771,-36.6104,-15.5587,17.1086,5.65056,-42.42,0.07,12.81,-0.850394,0
149.107,-175.752,-12.3998,15.9314,4.53222,-22.68,-21,-43.54,-0.850394,0
151.278,-247.792,-9.66285,9.06444,1.42245,5.6,-30.66,-93.24,-0.850394,0
153.95,-270.961,-7.57332,1.75599,0.50031,38.85,-35.7,-121.66,-0.850394,0
156.455,-261.212,-7.27902,-1.11834,-0.52974,55.37,-37.87,-125.23,-0.850394,0
158.96,-239.224,-8.4366,-2.01105,-0.82404,51.52,-34.3,-106.12,-0.850394,0
161.13,-189.172,-8.09325,-2.85471,-0.14715,6.86,-25.48,-97.02,-0.850394,0
162.633,-134.267,-9.80019,-1.12815,-0.10791,-16.59,-13.65,-82.46,-0.850394,0
163.635,-91.5151,-9.66285,0.55917,0.13734,-29.96,0,-62.86,-0.850394,0
164.47,-62.2268,-9.38817,2.78604,-0.11772,-32.97,1.82,-47.81,-0.850394,0
164.804,-28.0425,-9.03501,2.943,-0.34335,-27.72,-0.77,-39.62,-0.850394,0
164.971,-28.0425,-9.30969,4.33602,-1.01043,-25.48,-1.26,-29.33,-0.850394,0
165.305,-39.0583,-9.3195,5.25816,-1.02024,-26.39,-3.78,-27.86,-0.850394,0
165.806,-57.3308,-8.93691,4.1202,-0.18639,-24.08,-5.46,-33.18,-0.850394,0
166.307,-61.0028,-8.51508,3.70818,0.13734,-22.12,-1.61,-36.12,-0.850394,0
167.142,-74.4229,-8.09325,3.58065,0.1962,-19.11,-5.25,-44.45,-0.850394,0
167.81,-74.4229,-7.7499,2.23668,0.7848,-17.78,-11.62,-45.57,-0.850394,0
168.645,-68.3468,-7.91667,2.66832,0.86328,-19.74,-12.32,-42.07,-0.850394,0
169.146,-42.6866,-8.12268,2.22687,1.21644,-19.81,-5.81,-37.17,-0.850394,0
169.48,-31.7144,-8.54451,2.69775,1.15758,-20.72,-13.3,-29.75,-0.850394,0
169.814,-23.1902,-8.86824,2.6487,1.10853,-18.76,-6.16,-24.85,-0.850394,0
169.98,-21.9662,-9.25083,2.31516,1.16739,-14.77,-10.22,-22.61,-0.850394,0
170.147,-12.1744,-9.52551,1.90314,1.12815,-10.08,-5.74,-20.65,-0.850394,0
170.314,-12.1744,-9.67266,1.5696,1.1772,-6.02,-6.58,-18.13,-0.850394,0
170.481,-17.0702,-9.65304,1.7658,1.31454,1.68,-7.21,-15.12,-0.850394,0
170.481,-10.9504,-9.52551,1.52055,1.55979,6.02,-6.16,-14.77,-0.850394,0
170.648,-10.9504,-9.57456,0.8829,1.43226,8.82,-9.03,-14.63,-0.850394,0
170.815,-9.72631,-9.69228,0.81423,1.30473,9.45,-8.12,-13.3,-0.850394,0
170.982,-14.6223,-9.62361,0.86328,1.31454,9.45,-7.49,-13.02,-0.850394,0
170.982,-17.0702,-9.50589,1.04967,1.34397,10.36,-3.78,-13.3,-0.850394,0
171.316,-14.6223,-9.40779,1.11834,1.24587,11.41,-7.49,-14.14,-0.850394,0
171.483,-13.3983,-9.40779,1.1772,1.11834,12.18,-4.69,-13.16,-0.850394,0
171.483,-8.50234,-9.40779,1.1772,1.04967,12.39,-4.06,-11.13,-0.850394,0
171.483,3.69388,-9.45684,1.22625,1.00062,12.81,-3.57,-3.92,-0.850394,0
171.483,-4.87414,-9.5157,1.39302,1.09872,16.38,-2.45,-2.66,-0.850394,0
171.483,0.0218566,-9.74133,1.21644,1.20663,18.9,-7.14,-4.34,-0.850394,0
171.483,-2.42609,-9.94734,0.73575,1.08891,20.3,-6.23,-5.67,-0.850394,0
171.483,0.0218566,-10.0062,0.40221,0.87309,19.25,-2.8,-6.65,-0.850394,0
171.65,-7.32208,-9.95715,0.15696,0.75537,17.01,-1.89,-7.7,-0.850394,0
171.65,-15.8463,-9.93753,0.18639,0.6867,13.93,-5.81,-9.31,-0.850394,0
171.984,-21.9662,-9.96696,0.24525,0.63765,10.99,-8.54,-11.69,-0.850394,0
172.151,-28.0425,-10.0062,0.17658,0.63765,8.89,0.84,-13.51,-0.850394,0
172.485,-32.9385,-10.0062,0.21582,0.72594,5.95,3.92,-15.26,-0.850394,0
172.986,-36.6104,-9.92772,0.05886,0.65727,-0.14,1.19,-17.99,-0.850394,0
173.32,-35.3864,-9.87867,-0.23544,0.62784,-4.69,2.45,-16.03,-0.850394,0
173.654,-31.7144,-9.7119,-0.03924,0.71613,-9.24,0.91,-13.37,-0.850394,0
173.821,-25.5945,-9.60399,0.05886,0.84366,-12.81,-3.92,-10.85,-0.850394,0
174.155,-14.6223,-9.53532,0.10791,1.03005,-15.68,-6.51,-7.77,-0.850394,0
174.322,-13.3983,-9.43722,0.63765,1.18701,-17.71,6.3,-3.29,-0.850394,0
174.322,-7.32208,-9.35874,0.89271,1.4715,-18.41,8.54,-1.54,-0.850394,0
174.489,-8.50234,-9.32931,1.03005,1.50093,-17.85,6.58,-1.26,-0.850394,0
174.489,-12.1744,-9.39798,1.11834,1.53036,-16.94,-0.7,-1.68,-0.850394,0
174.656,-14.6223,-9.53532,1.2753,1.40283,-16.59,3.99,-2.31,-0.850394,0
174.823,-25.5945,-9.59418,1.24587,1.38321,-13.79,-0.42,-3.57,-0.850394,0
175.157,-31.7144,-9.50589,1.65789,1.41264,-11.06,-4.83,-5.88,-0.850394,0
175.491,-35.3864,-9.44703,1.3734,1.43226,-7.07,2.94,-7.91,-0.850394,0
175.825,-30.4904,-9.54513,0.83385,1.31454,-4.2,0.91,-8.05,-0.850394,0
176.159,-19.5183,-9.63342,0.77499,1.13796,-4.13,2.87,-4.83,-0.850394,0
