timestamp,motor_angle_L_float,motor_angle_R_float,motor_vel_L_float,motor_vel_R_float
1761533337.0867362,0.5789430141448975,0.3870004415512085,-0.4159701466560364,-0.416454941034317
1761533337.0968044,0.5742446184158325,0.38259026408195496,-0.5177810192108154,-0.4576641023159027
1761533337.1067982,0.5688757300376892,0.3778921663761139,-0.5580205321311951,-0.5008125305175781
1761533337.1167395,0.5630273818969727,0.3726191222667694,-0.5997145175933838,-0.5468698740005493
1761533337.1270227,0.5567956566810608,0.36677080392837524,-0.6215311884880066,-0.5938968062400818
1761533337.137057,0.5503718256950378,0.3605390191078186,-0.6544985175132751,-0.6637099981307983
1761533337.1469536,0.5436606407165527,0.3539234697818756,-0.6782543659210205,-0.6864961981773376
1761533337.156836,0.5364701151847839,0.34692466259002686,-0.7175242900848389,-0.7010406255722046
1761533337.167098,0.5291836857795715,0.3398300111293793,-0.7480675578117371,-0.7175242900848389
1761533337.1770406,0.5215135216712952,0.3326394855976105,-0.7853981852531433,-0.7121913433074951
1761533337.1866574,0.5133642554283142,0.3255442976951599,-0.8295162916183472,-0.7180091142654419
1761533337.1968076,0.5047355890274048,0.3183537721633911,-0.8556962013244629,-0.7160698771476746
1761533337.206755,0.49610647559165955,0.3111632168292999,-0.8901180028915405,-0.7136457562446594
1761533337.2168207,0.48709434270858765,0.30416417121887207,-0.9002990126609802,-0.7068583369255066
1761533337.226952,0.4781777560710907,0.29697364568710327,-0.879452109336853,-0.7117065191268921
1761533337.2368093,0.46935737133026123,0.2897830903530121,-0.8663620948791504,-0.704919159412384
1761533337.2470994,0.4607287645339966,0.2827843129634857,-0.8450303077697754,-0.6932835578918457
1761533337.2569427,0.4523871839046478,0.2758808434009552,-0.8474544286727905,-0.6898899078369141
1761533337.2671382,0.4440461993217468,0.2691696882247925,-0.8241832256317139,-0.6632251143455505
1761533337.2771215,0.4358969032764435,0.262554407119751,-0.7980033159255981,-0.6409236788749695
1761533337.2869437,0.4280349612236023,0.25622645020484924,-0.783458948135376,-0.614258885383606
1761533337.2968493,0.4203650653362274,0.25018641352653503,-0.7432193160057068,-0.587109386920929
1761533337.306963,0.413078635931015,0.24443399906158447,-0.7180091142654419,-0.5682017207145691
1761533337.316956,0.40598398447036743,0.2390650361776352,-0.688435435295105,-0.5269924998283386
1761533337.3269355,0.39936819672584534,0.23388786613941193,-0.6632251143455505,-0.49354034662246704
1761533337.3368452,0.3930405080318451,0.22918978333473206,-0.6215311884880066,-0.47366300225257874
1761533337.346891,0.3870004415512085,0.2246837168931961,-0.5958360433578491,-0.4406956434249878
1761533337.3569586,0.3811521828174591,0.2203693985939026,-0.5555964708328247,-0.3980320394039154
1761533337.366916,0.3756870627403259,0.21653445065021515,-0.5347495079040527,-0.38785094022750854
1761533337.3768568,0.37050989270210266,0.21289123594760895,-0.5172961950302124,-0.3442177176475525
1761533337.3870745,0.3654285967350006,0.2096315324306488,-0.5051758885383606,-0.3136744499206543
1761533337.3970776,0.3605390191078186,0.20675478875637054,-0.4697844684123993,-0.2613145709037781
1761533337.406892,0.3558409512042999,0.2041662037372589,-0.46299710869789124,-0.2584056854248047
1761533337.4169903,0.3513348698616028,0.2015775889158249,-0.45524007081985474,-0.2588905096054077
1761533337.4271388,0.34692466259002686,0.19937250018119812,-0.43245384097099304,-0.19053179025650024
1761533337.4371505,0.34261035919189453,0.19764678180217743,-0.43584752082824707,-0.1498074233531952
1761533337.4469295,0.3382960557937622,0.19640040397644043,-0.4150005280971527,-0.13041488826274872
1761533337.4570963,0.3341734707355499,0.1949623078107834,-0.413061261177063,-0.1439896672964096
1761533337.467147,0.33043384552001953,0.19352419674396515,-0.3752457797527313,-0.14059597253799438
1761533337.4771495,0.32650303840637207,0.1920860856771469,-0.388820618391037,-0.137687087059021
1761533337.4871154,0.32276394963264465,0.19064798951148987,-0.3752457797527313,-0.14205043017864227
1761533337.4968483,0.31902486085891724,0.18920987844467163,-0.3660343289375305,-0.1284756362438202
1761533337.5070841,0.3153816759586334,0.18796353042125702,-0.3791242837905884,-0.12653636932373047
1761533337.5171454,0.311642587184906,0.1867171674966812,-0.3684583902359009,-0.11102233827114105
1761533337.5271707,0.308095246553421,0.1860460489988327,-0.33888477087020874,-0.03733065351843834
1761533337.5370536,0.30473941564559937,0.18585430085659027,-0.336945503950119,-0.012120341882109642
1761533337.5470362,0.301479697227478,0.18575842678546906,-0.31900742650032043,-0.0019392548128962517
1761533337.5571008,0.2983158528804779,0.18575842678546906,-0.30688709020614624,0.0
1761533337.567109,0.29563137888908386,0.18566253781318665,-0.23174095153808594,-0.006302577909082174
