time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,hip_angle_l_torque_estimated,hip_angle_l_torque_desired,hip_angle_l_torque_measured,hip_angle_l_torque_interaction,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,knee_angle_l_torque_estimated,knee_angle_l_torque_desired,knee_angle_l_torque_measured,knee_angle_l_torque_interaction,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,hip_angle_r_torque_estimated,hip_angle_r_torque_desired,hip_angle_r_torque_measured,hip_angle_r_torque_interaction,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,knee_angle_r_torque_estimated,knee_angle_r_torque_desired,knee_angle_r_torque_measured,knee_angle_r_torque_interaction,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
65,-49.3307023339086,62.6409902728747,39.4142758460538,0.569057517478626,3.74827146074375,0.486791633257492,0.299458885974847,-5.59856128276565,-74.9118141875506,8.66007181341721,-0.481496984730062,-3.63836635982977,-1.55969260192273,-0.546669888887771,9.09459699486342,8.54444985838413,-2.4039923671451,-49.8178216701011,-65.4800027973503,-38.9535156826454,1.34833877394269,8.06678099947194,2.17016873889876,-38.1494048814949,-41.9117933801178,29.1427392460548,-49.3008433631273,-4.41140660551871,17.3706813480294,35.2215213589762,63.7015449523376,188.702577885134,0,0,0,-0.761577335377306,39.8207778930664,38.5489674764375,-0.61398408027287,-0.157098346516209,0.531805911044576,0.602938665205393,-13.8470224731747,-46.3618301591941,-28.3441700008072,-0.451777723027326,-4.37327278920805,-3.20644488728834,-3.00500111867573,2.95278311170853,12.56649776775,-3.07166122605733,-5.85963198248576,-110.23946326433,-77.4559766990199,0.969144784215816,14.8426470164658,2.06007080793047,-6.32122945918093,-69.5471362422221,-150.225260784764,-2.72913008930874,10.902204912856,-0.63324917531049,21.7444180645663,-14.5324157673228,-110.950630776738,1367.41339830061,0.220704730023021,0.0959502226953791
65.005,-48.7640780647395,71.8509259959418,43.2491747859221,0.590572035977027,4.07999510354147,0.765589148652835,0.622823125158981,-6.35222838122482,-91.3452304904915,-11.4842102114949,-0.477276186655996,-3.78592369315453,-1.74555759233987,-0.756514698484163,8.66168642888004,8.85906509529066,-2.47698310210742,-38.9764136546256,-59.2653808337645,-36.4769888301564,1.4062279775335,8.51227617493158,3.19455595026643,-44.8580892911858,-24.802939114366,-10.3232175336971,-49.5443773322302,-7.61593250830377,16.1071962827247,-63.4418169349127,72.0262643129104,154.469924570395,0,0,0,-0.415000347306888,39.8207778930664,38.9932743072104,-0.630069995127113,-0.387677256340985,0.547294660246004,0.671934153142256,-14.2761177917381,-51.0570919600344,-31.0920225837666,-0.432265226707381,-4.50466312543313,-3.32150416707038,-3.06950072182914,4.03757644856225,13.0824667562767,-3.01377202246652,-3.92377724082877,-109.021397359467,-75.4641903596907,1.8928551197734,15.2503883634967,2.0424523546637,-8.89408295210547,-75.1527252533765,-157.807099580338,-2.60012924901797,10.9685138569443,-0.733918064043243,19.4011639145045,-15.1754891483378,-125.723703764111,1371.18878114349,0.225322431632148,0.0925764063678388
65.01,-48.1974808137026,81.0604225651026,47.0838908677444,0.612085528606722,4.41170292888531,1.04437337025095,0.95210515197331,-7.10585954285877,-107.777863205014,-31.6275317041723,-0.473055589840659,-3.93347399055838,-1.93141372022647,-0.973795550325715,8.22879650520859,9.17366533051701,-2.54997035667994,-28.135522585937,-53.0510551996638,-34.0005800649673,1.46411442081515,8.95775010801208,4.21889431616341,-51.5664538131974,-7.69490064368691,-49.7872924730533,-49.7878996889943,-10.8203056108837,14.8437714637038,-162.100450701895,80.3505867290163,120.238903558407,0,0,0,-0.0684398849368363,39.8207778930664,39.4375599522676,-0.646155142962719,-0.618245171558197,0.562782670903221,0.745135041765897,-14.7051926499105,-55.7521298784695,-33.8397441419033,-0.412753660794469,-4.63604719662215,-3.43655796052399,-3.13020801083279,5.12231805962269,13.5984111420479,-2.95588557918487,-1.98801480580642,-107.803389535183,-73.4724989939614,2.81652141039796,15.65811026835,2.02483474149103,-11.4668137646231,-80.7580469753353,-165.388576853941,-2.47113455982583,11.0348196392481,-0.83458215261918,17.0580214969504,-15.8185318659262,-140.496072332593,1374.9639839662,0.229939913057142,0.0892027509127154
65.015,-48.0419914627075,83.5877532958984,52.0182154082681,0.649967964665325,4.66325978157254,1.12087917327881,1.08411260133114,-7.31267597198487,-112.287414550781,-47.5940569637625,-0.463290009957581,-4.05178361983989,-1.98241758346558,-1.06254557612386,7.75571046321717,8.75941179877448,-2.04297228110411,-21.9115884870905,-46.0033731785401,-33.8563062836962,1.57518226361331,8.92136289397782,4.34136289397783,-55.1047591590849,-6.9430786846663,-81.5578171639416,-49.2869308853366,-10.1626065513334,11.6681972406343,-200.736122166255,66.7122429349632,78.3887302692834,0,0,0,0.02666552066803,39.8207778930664,39.6598153697368,-0.647249290457859,-0.953282892573105,0.567032992839813,0.810657245436083,-14.822942199707,-57.0405731201172,-37.2418885201809,-0.404227387304014,-4.72753152185235,-3.46813178062439,-3.10453506738446,5.58921291309033,13.7276615584205,-2.86773198503434,-1.7222733461551,-104.786014379625,-71.9140431508874,3.88962504778121,15.9074854918859,2.01999999999998,-14.4229186231403,-81.6478208834759,-170.894304593675,-2.79287764846335,11.2700030679709,-0.75118044449671,15.4279253538301,-15.0881245168766,-156.721874378945,1368.06814469889,0.234389326697446,0.0859698281398055
65.02,-48.0419914627075,83.5877532958984,57.36808258895,0.694038570993844,4.88448737064071,1.12087917327881,1.14343404688394,-7.31267597198487,-112.287414550781,-61.9798876812829,-0.451427984521833,-4.15902678696243,-1.98241758346558,-1.10552896175582,7.26745352190988,8.06953631951443,-1.31665971667187,-17.4341754696359,-38.6409827178226,-34.5940447982936,1.70635577023318,8.70274038294471,4.12274038294472,-57.4439300590277,-12.3771526214565,-110.416588407723,-48.5044318418535,-8.0443326351098,7.76966551962983,-216.668844052969,44.768615202179,33.6597785624934,0,0,0,0.02666552066803,39.8207778930664,39.7980853620112,-0.642673838090551,-1.32780860035575,0.567032992839813,0.874671977498413,-14.822942199707,-57.0405731201172,-40.8913090491803,-0.399856261619614,-4.80391993314956,-3.46813178062439,-3.0454308431661,5.82241025819231,13.7106575853402,-2.76813728556369,-2.08814366640256,-101.088324995485,-70.5195374220753,5.01917468811899,16.0969583347812,2.01999999999998,-17.5238195340901,-80.7541376422157,-175.614631512277,-3.28506656534041,11.5690397970624,-0.598171372354314,14.0676071830767,-13.8383326159342,-173.496292043559,1357.13701914724,0.238774885470527,0.0827903422801446
65.025,-48.0419914627075,83.5877532958984,62.7182048775036,0.738111278824738,5.10572550892393,1.12087917327881,1.20515445175705,-7.31267597198487,-112.287414550781,-76.3664043856764,-0.43956539344661,-4.26627506796446,-1.98241758346558,-1.15276087008716,6.77917329812005,7.37962794361238,-0.590312518098932,-12.9565489471974,-31.2782411822656,-35.3318184918769,1.83753553184835,8.48410744691941,3.90410744691943,-59.7832125020968,-17.8114856815092,-139.276735779074,-47.7218954849831,-5.92595770921014,3.87094789753711,-232.602325689904,22.8239410897405,-11.0713060398051,0,0,0,0.02666552066803,39.8207778930664,39.9363619476762,-0.638098167543262,-1.70235216735865,0.567032992839813,0.940449927383479,-14.822942199707,-57.0405731201172,-44.5409036004261,-0.39548492749853,-4.88031198702039,-3.46813178062439,-2.98565050824856,6.05561872328596,13.6936528014271,-2.66853783692994,-2.454031433139,-97.3904592874025,-69.1249651963995,6.14877819091637,16.2864402126698,2.01999999999998,-20.6248683111842,-79.8604117857611,-180.335183519189,-3.77727895219586,11.8680907856899,-0.445155003989891,12.7072241456899,-12.5884811187922,-190.271509594572,1346.20537234597,0.243160653368531,0.0796107048070243
65.03,-48.0419914627075,83.5877532958984,68.0680720581854,0.782181885153257,5.3269530979921,1.12087917327881,1.26764841808328,-7.31267597198487,-112.287414550781,-90.7522351031968,-0.427703368010863,-4.37351823508699,-1.98241758346558,-1.20339475427395,6.29091635681275,6.68975246435233,0.136000046333313,-8.47913592974272,-23.9158507215481,-36.0695570064742,1.96870903846821,8.2654849358863,3.68548493588632,-62.1223834020396,-23.2455596182994,-168.135507022855,-46.9393964414999,-3.80768379298651,-0.0275838234673935,-248.535047576618,0.880313356956318,-55.8002577465951,0,0,0,0.02666552066803,39.8207778930664,40.0746319399507,-0.633522715175954,-2.0768778751413,0.567032992839813,1.00686132702402,-14.822942199707,-57.0405731201172,-48.1903241294254,-0.391113801814129,-4.9567003983176,-3.46813178062439,-2.92649185634866,6.28881606838795,13.6766488283467,-2.56894313745929,-2.81990175338647,-93.6927699032621,-67.7304594675875,7.27832783125415,16.4759130555652,2.01999999999998,-23.725769222134,-78.9667285445009,-185.055510437791,-4.26946786907293,12.1671275147814,-0.292145931847495,11.3469059749366,-11.3386892178499,-207.045927259186,1335.27424679431,0.247546212141612,0.0764312189473634
65.035,-46.6309888162275,77.0038165469382,71.2967641957534,0.820403207706213,5.51776300179565,1.81578214462308,2.02403333384233,-8.48088760417088,-98.6575093479533,-97.8454295370024,-0.405066639897301,-4.46423817986693,-2.35039062332309,-1.62473437408332,6.6537994579946,7.18147425474256,0.210715321106714,-11.1506021893409,-12.4013112080589,-34.1618274437123,3.75706283481438,9.24896174450117,3.70464233944667,-67.0359047856915,-38.0725392479305,-182.19034038345,-33.1045487164234,-3.19802257460668,-1.19223599483034,-172.094330774688,-31.6019197569532,-116.186114685536,4.82964643599924,0,0,0.403167400399476,34.0453941328265,39.0860028856873,-0.623667216440892,-2.51721763569664,0.439657697817655,0.945272559315219,-15.8539241281616,-65.8191558614784,-52.5542969673474,-0.369733542947526,-4.97691975183253,-3.56861672612394,-2.96982804415024,6.09505086027604,13.4671548496881,-2.25149038885736,-3.41611497424193,-86.2625245190149,-60.9404324683499,8.46054578685324,16.7158178609693,2.09244469653998,-25.5643368836789,-77.3313657431722,-189.18686971251,-4.58183394256744,12.5420020096182,-0.426644149563327,13.3336604239818,-12.4614924457954,-229.97347293151,1318.92588391,0.252059081117147,0.0726910109482806
65.04,-44.3141914078863,66.1933140757164,73.1633467149633,0.854866125288753,5.68902891647662,2.95677887278318,3.22360979996611,-10.3990340290513,-76.2778709194765,-100.255981415148,-0.375514007835262,-4.54434262643562,-2.95458437675653,-2.28455763153497,7.56311111111113,8.43177777777778,-0.132919896640816,-18.4116502376623,1.77812868855077,-30.5557788624111,6.60923514211885,11.0041447028424,3.87645994832043,-73.6018502568029,-58.9288799566147,-186.739509362937,-10.890792101483,-3.5569828550945,-0.601565823628921,-36.3531319393976,-70.847704537956,-186.619437725846,12.7596899224806,0,0,1.02136509221346,24.5624961657117,37.3739488742866,-0.610422544145161,-2.99977747869604,0.230513686550064,0.799933135726202,-17.5467460841295,-80.2331598286789,-57.376691740779,-0.337434593833882,-4.96107533356792,-3.73360809725384,-3.08112969211924,5.62717829457365,13.1340930232558,-1.79419121447027,-4.16016843717103,-76.4364500590168,-50.6868536064057,9.67648578811371,16.9880826873385,2.21139534883721,-26.5923054837783,-75.2199508724918,-192.939770950968,-4.77872399963458,12.9655372314059,-0.745719980700688,17.469178475274,-15.1074836829528,-256.849712787796,1299.1007751938,0.256653333649771,0.0685910956727134
65.045,-41.9972835232966,55.3822961067848,75.0300182419705,0.889330686232009,5.86030299795529,4.09783000925609,4.41840861030169,-12.3172719205487,-53.8971653202197,-102.666648240214,-0.345959966558971,-4.62445089277669,-3.5588069411076,-2.94641084045854,8.47246612466127,9.6821409214092,-0.476571500598719,-25.6730445283207,15.9582447303084,-26.9495583270504,9.46154345496943,12.7594113569043,4.04828575029937,-80.1681088243555,-79.7862151977822,-191.288895269085,11.32402377418,-3.91596025256674,-0.0108674863805209,99.39453970114,-110.095360750211,-257.056119371995,20.6901115522783,0,0,1.63959226272143,15.0791460075728,35.6618132237647,-0.597177240278581,-3.48236033251242,0.0213597022715878,0.65118348295489,-19.2396487621399,-94.6478511261911,-62.1993164696144,-0.305134104548138,-4.94523015976383,-3.89860733598048,-3.19737566351535,5.15928341841559,12.8010153148043,-1.33687023381862,-4.90425738021377,-66.6099070436584,-40.4327858035973,10.8924837713493,17.2603604966282,2.33035167328419,-27.6203231024558,-73.1084353192082,-196.69285114614,-4.97562344538404,13.3890926494275,-1.06481102693657,21.6048937283234,-17.753601093933,-283.727234234843,1279.2747211193,0.261247805258859,0.0644909848931036
