time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
65,-43.9145421484931,13.4213510193385,21.9491746142312,-11.6079961741072,-16.7896767968298,114.776944904249,4.40127860211685,67.4319433064091,81.8566610919678,-16.5129917080895,-82.9285008391268,-40.0789762834438,8.50900908361043,10.5475954467345,-3.9701844348735,-33.9474223053458,-67.8912161243339,-3.47455720429516,3.92958467838265,11.796437813029,0.788831506171936,-19.5888581014485,-73.3391502269743,-33.6325566798546,-26.5984097711483,8.76494462538938,0.152667999096788,51.6297122409004,-51.1863390897908,-66.0938315687736,2.13445800180537,12.0394211277565,-1.86849425436733,-10.596844200185,-105.492392238194,-69.7423842000652,2.50620019536823,14.5762830792173,2.73227704604308,19.8249309408424,-104.142987405498,-158.653014177881,-1.18574769693651,12.9181893120303,4.06231435219771,74.0005351588244,-2.84343628679408,-196.373537797573,0,0,0,832.531982355492,0.218660497941118,0.0141514095713806
65.005,-43.8566013813835,11.5881534219219,20.2514134782078,-11.8257324329575,-43.5472517700992,85.5125252221336,4.71363938849613,62.4721572759139,79.3709770607781,-16.9874466953007,-94.8909974423426,-48.3661500322405,8.58426918899632,10.7899349001798,-3.823693316326,-36.9176785986016,-62.2529785675766,1.1604668413261,4.13296937264228,12.2179524399218,1.08042268073492,-23.3719781518858,-68.5063578887593,-55.1868261668193,-25.2141406783816,9.58838112283646,0.109305895362424,47.1936739534783,-59.4116472552248,-96.016329569022,2.27570616518707,12.3156534840438,-1.91973838932551,-14.810025579255,-108.365733715526,-63.9389000761277,3.29452617271377,15.1217561762723,2.7073462216144,17.4965484871155,-107.954378274886,-165.18986119438,-0.852146880713517,13.2893862016752,3.90051765896553,78.2365728405368,0.916919757490749,-217.883173032018,0,0,0,835.530929145445,0.221861587646605,0.0141915236166444
65.01,-43.8076437694478,9.79152238712925,18.4673364672566,-12.1715711920468,-69.167751817726,56.3987622161703,4.99794918402862,56.8619591063885,76.4061766181213,-17.5255101263168,-107.612686203005,-57.4338908692379,8.62000376532394,11.0102780450512,-3.62462368404002,-40.0297380652581,-57.6312049846293,5.65669061802082,4.24759500848027,12.6631447060912,1.33520887402787,-26.9740741517169,-64.7872632120927,-75.6554661847951,-23.7641157271022,10.5548297862131,-0.0421912995056709,43.0292781400128,-68.3406223584344,-124.049496457243,2.38059669896847,12.567267320385,-1.94540158618598,-18.9451949410608,-109.900490257923,-57.3404615088488,4.10955763606126,15.6735437549422,2.62505668966491,15.028282330466,-110.494508968411,-171.668643831069,-0.437873082655089,13.7160793964923,3.62239608984958,82.4473649870745,4.88837296135709,-240.588368806342,0,0,0,835.501638600981,0.224708805621176,0.0142268585133835
65.015,-43.7673801165794,8.05273057367821,16.6273193555427,-12.6389576099122,-93.4772835731797,27.6657413732416,5.25082339746741,50.5748426878023,72.9210478377183,-18.1307575738678,-121.049489510317,-67.2948986696534,8.61276635406949,11.2111779311426,-3.37930607152963,-43.2181635013172,-54.0271881291613,9.95943149952434,4.2608923860777,13.1203726091146,1.5372823576436,-30.3440874009295,-62.1884810995122,-94.9270561598325,-22.2648882229717,11.6209737420098,-0.34374510384034,39.2002794577505,-77.7653819760675,-149.923652841966,2.44421941797537,12.7908309208893,-1.94445209955429,-22.9251275228996,-110.098522598248,-49.906874435183,4.92781301769117,16.2264372601853,2.48176926446399,12.473745400661,-111.756980345748,-177.998453847433,0.0398679842536245,14.2075222462743,3.232868053176,86.7128447464635,8.94805287359653,-264.278177680876,0,0,0,832.337167300755,0.227187052379393,0.0142562481101857
65.02,-43.7354180419416,6.39241492756652,14.7599712121737,-13.2205461295823,-116.317703934128,-0.464559658433704,5.46877266524308,43.5898535551749,68.8766914732503,-18.8064769194377,-135.143869114096,-77.9507699288264,8.55982099134119,11.3955623590489,-3.09482484126113,-46.4147057349815,-51.4118459661329,14.016575024339,4.16089134005724,13.5758983889752,1.67396209204836,-33.4210663940291,-60.6801624857493,-112.903808906603,-20.7341801644881,12.7415802786735,-0.825631364067886,35.7791524982644,-87.4633411081663,-173.398377177551,2.46235190187765,12.9840147942463,-1.91650082972009,-26.6712759947493,-108.986621561381,-41.6139266543459,5.72209618051766,16.774788703059,2.2760445690643,9.88610580232849,-111.758109143089,-184.090981532226,0.558585336927353,14.7729870962471,2.74154903300598,91.0971625159107,12.9772205135675,-288.701946236255,0,0,0,825.957776094564,0.229328606752378,0.0142815832425703
65.025,-43.7112628869349,4.83103100132841,12.8921367232596,-13.9082829643359,-137.547366950448,-27.7805062555418,5.64823459699874,35.8923863510616,64.237149101393,-19.5556017086139,-149.824957834958,-89.3912321186705,8.45929051875549,11.566535643132,-2.77872987997381,-49.5504512370673,-49.7279712671517,17.7783808666427,3.93731602273279,14.0143305561297,1.73653251075649,-36.1388722162325,-60.1974638756948,-129.502392441199,-19.19039459718,13.8714361689414,-1.50404405987169,32.8412176456593,-97.2015677813631,-194.2669577176,2.43165918955501,13.1457805260859,-1.86179868066998,-30.1065689208679,-106.615136976999,-32.4554277498252,6.46820827819626,17.3153626354462,2.0092981515191,7.31540846199726,-110.535540361761,-189.862786175543,1.09800801415243,15.4216541519468,2.16253173490021,95.6420894163874,16.8673359815647,-313.57224911421,70.0272286417175,0.0140914795697669,0.0220025721864746,816.29628879074,0.231187635525097,0.0143044778054524
65.03,-43.69431644132,3.38928912297571,11.0490244836809,-14.6934912181332,-157.041650759611,-54.082730324772,5.78560941806824,27.4749642139266,58.9700794186265,-20.3806462570394,-165.008909685244,-101.593539748143,8.31027827700956,11.7271823171129,-2.43876273045297,-52.5580047457018,-48.8932190394571,21.1971555025071,3.58262275731315,14.4192032581527,1.72069195211239,-38.431605819024,-60.6431704756019,-144.654676325457,-17.6519605166071,14.9672175854605,-2.37967442751102,30.4575977188437,-106.741454308932,-212.360551541133,2.34988891637567,13.2765013531675,-1.78121396280721,-33.1585213413947,-103.05606111649,-22.4444017897954,7.15064620963707,17.8501474387444,1.68626278225269,4.80589464739311,-108.146513733039,-195.236936552835,1.646680956339,16.1631007679941,1.51431960043866,100.361384496014,20.5249767536447,-338.569133029499,118.590443768532,0.00519306908146144,0.0231973512718952,803.281211876549,0.23282340039185,0.0143239058596272
65.035,-43.6838737275642,2.08854275117337,9.25444021681876,-15.5669576881363,-174.693294000766,-79.1857423105344,5.87729930405732,18.3379771978323,53.0474732434448,-21.2836435863183,-180.599465855939,-114.52205072471,8.1129547946299,11.8803813270657,-2.08260878192478,-55.3736120810786,-48.8037035717913,24.2268759896075,3.09289303698263,14.77369161582,1.62669407862355,-40.2393084574535,-61.891476054892,-158.308348290695,-16.1365903380672,15.9892402841417,-3.43740856570441,28.6876431449455,-115.843868287511,-227.551777759593,2.21604441672391,13.3780013445854,-1.67619315613721,-35.7624699725333,-98.4006755078233,-11.6133435591132,7.75059711022421,18.3798418439341,1.31506844198085,2.39353035176947,-104.665933785979,-200.143929279297,2.18892002947788,17.0043838835072,0.82024868433251,105.23646622535,23.8751406515398,-363.345489847986,177.414159566867,0.00318374588070025,0.0235550916740256,786.821094412719,0.234292503581955,0.0143363773553717
65.04,-43.6791182112068,0.951103271470837,7.53109923551315,-16.5190205375311,-190.412569878586,-102.919241516269,5.9197510795287,8.4903550942591,46.4463947289039,-22.2660872396756,-196.488730671075,-128.127997733703,7.86860347009493,12.0286387097734,-1.71768430108258,-57.9391333623146,-49.3380631695162,26.8228541433037,2.46850482970494,15.0614392736567,1.45918961738755,-41.5134730775067,-63.7928537862762,-170.427339846848,-14.660551152154,16.9030247616497,-4.64716909435165,27.5715342294406,-124.274865362487,-239.757480375946,2.03051850596019,13.4535060433746,-1.54870761908086,-37.86471383335,-92.7568855363236,-0.0135288497767139,8.23964183677337,18.8991401349806,0.907112206075589,0.103970195407648,-100.184387139036,-204.521869289405,2.69792459949907,17.9464989788306,0.107772373644438,110.213687318532,26.8626098867263,-387.533317039008,243.220408056648,0.00526437115829581,0.0233211865352808,766.798679543808,0.23565114820656,0.0143405524186915
65.045,-43.6791159105255,0.000460136270419716,5.90098948840028,-17.5396571555946,-204.127323612887,-125.129142176085,5.90950182409504,-2.04985108673368,39.1497333741445,-23.3288779834254,-212.558148750156,-142.349465217782,7.57962187069391,12.173946148374,-1.3509639023363,-60.2037853786888,-50.3618426475647,28.9415250430712,1.71452243406526,15.267452781115,1.22679613758333,-42.2219255431794,-66.1798736272365,-180.992001886446,-13.2380524121199,17.6806003926306,-5.96584213062319,27.1237770728606,-131.811927204488,-248.94044211125,1.79517316584361,13.5075041206335,-1.40118762831901,-39.4253318037106,-86.2463721526961,12.2865490506194,8.59287381728043,19.402727444211,0.476542713299037,-2.04882392768206,-94.8062257763653,-208.315975239588,3.15065195861642,18.9856328919393,-0.593416368279801,115.203461966611,29.4512441642495,-410.750590017343,312.509984002202,0.00995484889119513,0.0226334981192122,743.077900094238,0.23695851682114,0.0143436547375968
65.05,-43.6828089590271,-0.738609700316989,4.38575524678176,-18.6185716347277,-215.782895826826,-145.67833825594,5.84322679905152,-13.2550050087165,31.1469487397353,-24.4722763441464,-228.679672144417,-157.111578340875,7.24947794553649,12.3176719596143,-0.988850773369544,-62.1255828980743,-51.7320408123882,30.5404290875323,0.843061531288879,15.3801733717956,0.941458964209973,-42.3526886889184,-68.873742166191,-189.998982418494,-11.8785801079616,18.3027113487608,-7.34002854817863,27.3282478620105,-138.250552320999,-255.10990433976,1.51335487704761,13.5455262823696,-1.23644401757273,-40.4204632820238,-79.0016839399595,25.2034708388582,8.79352357427128,19.8874813598269,0.0395162161791938,-4.06312265314908,-88.6477934068889,-211.477543461229,3.53336804237563,20.1140717431147,-1.25280728700633,120.081432922068,31.6212949913656,-432.608465698218,382.592711746431,0.0161766169328621,0.021655792949933,715.516284994338,0.238279625372311,0.0143684782740425
65.055,-43.6890092280818,-1.24005381095502,3.00707178165588,-19.7452813883237,-225.341950718755,-164.447233473465,5.71778898113379,-25.0875635834968,22.4347874331333,-25.695861863956,-244.71710396145,-172.326906217826,6.88262301595997,12.4604898144342,-0.637088853070917,-63.6724216056722,-53.3016720101134,31.5784346223796,-0.110475531194264,15.4014470338614,0.617769813947111,-41.9165253664862,-71.6912699471981,-197.460776848744,-10.5706438051425,18.769190612745,-8.70905856427321,28.1353098123105,-143.410897146396,-258.320837308752,1.18984120598357,13.5738536535918,-1.05757716569405,-40.8438748693232,-71.163376977671,38.6417079599772,8.82976712090463,20.3502773631412,-0.386627949381498,-5.94899677222011,-81.8358187644946,-213.962558276788,3.8384109149682,21.3193055006722,-1.84044806696084,124.691786604164,33.3650668524625,-452.718558339093,452.104182015408,0.0230512465698354,0.0205982125448024,683.974884145307,0.239687499259882,0.0144555801192232
65.06,-43.696392643497,-1.47668308303813,1.7869830905183,-20.9092025070927,-232.78422375403,-181.334064654485,5.53028937295834,-37.4999216351236,13.0179500627401,-26.9984998780875,-260.527602826524,-187.896077794528,6.48436571374453,12.6023487185242,-0.300713425403561,-64.8227599268969,-54.9241969752141,32.0162211864876,-1.1013802281804,15.34219897573,0.271974739236932,-40.9479627131176,-74.4519184120481,-203.404944161959,-9.29535920484945,19.0940316255818,-10.010378518706,29.4613384760455,-147.144063256407,-258.671995366385,0.830720549331472,13.5991726239684,-0.867873478557295,-40.7076899346238,-62.8772868401704,52.496728688793,8.69471402629599,20.7876912843339,-0.784401504311429,-7.72685766984688,-74.5059424044742,-215.730167353594,4.06442346315349,22.5842736917311,-2.32878278957061,128.852720915776,34.6814654177801,-470.700073054725,520.70199728727,0.0299356050448194,0.019666380814357,648.334149677509,0.241265917665163,0.0146610069581388
