timestamp,hip_angle_l,hip_angle_r,hip_angle_l_velocity,hip_angle_r_velocity,motor_torque_L_float,motor_torque_R_float,torque_L,torque_R
1762220158.2416854,0.18010160326957703,-0.0015819177497178316,0.004363323096185923,0.0,0.0,0.0,-0.019999999552965164,0.029999999329447746
1762220158.2516437,0.18010160326957703,-0.0015819177497178316,-0.0,0.0,0.0,0.0,-0.009999999776482582,0.009999999776482582
1762220158.2618456,0.18010160326957703,-0.0015819177497178316,0.004363323096185923,0.0,0.0,0.0,-0.009999999776482582,0.009999999776482582
1762220158.271696,0.18019747734069824,-0.0015819177497178316,0.004848137032240629,0.0,0.0,0.0,0.0,0.009999999776482582
1762220158.281811,0.18019747734069824,-0.0015819177497178316,0.005817764438688755,0.0,0.0,0.0,0.0,0.009999999776482582
1762220158.2919354,0.18029333651065826,-0.0015819177497178316,0.0053329505026340485,0.0,0.0,0.0,0.0,-0.019999999552965164
1762220158.3019397,0.18029333651065826,-0.0015819177497178316,0.003393696155399084,0.0,0.0,0.0,-0.009999999776482582,0.0
1762220158.3119256,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,-0.009999999776482582,0.009999999776482582
1762220158.322117,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.0,0.009999999776482582
1762220158.3321712,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.019999999552965164,0.009999999776482582
1762220158.3419683,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.019999999552965164,0.009999999776482582
1762220158.3519459,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.019999999552965164,-0.05999999865889549
1762220158.3619308,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.019999999552965164,-0.05999999865889549
1762220158.372092,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.019999999552965164,-0.07000000029802322
1762220158.3818338,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.029999999329447746,-0.07000000029802322
1762220158.39196,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.019999999552965164,-0.029999999329447746
1762220158.4024103,0.18038921058177948,-0.0015819177497178316,-0.0,0.0,0.0,0.0,0.009999999776482582,-0.07000000029802322
