timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758079521.30927,1758079521.18704,0.0,0.0,0.0,9.96947,41.36755,-5.61499,11.32,1.72,0.55,3.0
1758079521.31008,1758079521.19704,0.0,0.0,0.0,4.35448,42.39888,-6.41713,11.32,1.72,0.55,3.0
1758079521.32653,1758079521.20704,0.0,0.0,0.0,-0.40107,44.00316,-6.7609,9.65,2.49,0.53,3.0
1758079521.32777,1758079521.21704,0.0,0.0,0.0,-7.21927,46.46688,-8.02141,9.65,2.49,0.53,3.0
1758079521.34322,1758079521.22704,0.0,0.0,0.0,-11.57375,46.86795,-9.28192,9.33,2.7,0.62,3.0
1758079521.35892,1758079521.23704,0.0,0.0,0.0,-15.06879,46.1804,-10.59972,8.98,2.41,0.66,3.0
1758079521.36173,1758079521.24704,0.0,0.0,0.0,-17.87628,44.63341,-11.91752,8.98,2.41,0.66,3.0
1758079521.37721,1758079521.25704,0.0,0.0,0.0,-21.08485,40.33623,-14.61043,9.01,1.94,1.05,3.0
1758079521.37813,1758079521.26704,0.0,0.0,0.0,-22.40265,37.24226,-15.58445,9.01,1.94,1.05,3.0
1758079521.39409,1758079521.27704,0.0,0.0,0.0,-23.37668,32.83048,-16.90226,9.23,1.59,0.99,3.0
1758079521.41102,1758079521.28704,0.0,0.0,0.0,-24.35071,27.2155,-17.6471,9.23,1.59,0.99,3.0
1758079521.41187,1758079521.29704,0.0,0.0,0.0,-25.55392,20.68378,-17.6471,9.13,1.39,0.96,3.0
1758079521.42696,1758079521.30704,0.0,0.0,0.0,-26.64254,18.56383,-17.30333,9.38,1.24,0.97,3.0
1758079521.42814,1758079521.31704,0.0,0.0,0.0,-27.73116,17.18874,-16.67307,9.38,1.24,0.97,3.0
1758079521.44299,1758079521.32704,0.0,0.0,0.0,-28.87707,15.87093,-16.04282,9.29,1.16,1.01,3.0
1758079521.45898,1758079521.33704,0.0,0.0,0.0,-30.19488,15.35527,-15.06879,9.29,1.16,1.01,3.0
1758079521.46181,1758079521.34704,0.0,0.0,0.0,-30.65324,15.92823,-14.43854,9.2,1.16,1.03,3.0
1758079521.47895,1758079521.35704,0.0,0.0,0.0,-30.88243,16.55848,-13.75099,9.2,1.16,1.03,3.0
1758079521.48099,1758079521.36704,0.0,0.0,0.0,-30.53865,16.90226,-13.17803,9.24,1.08,0.88,3.0
1758079521.49592,1758079521.37704,0.0,0.0,0.0,-29.62192,17.13144,-12.2613,9.37,0.92,0.77,3.0
1758079521.49878,1758079521.38704,0.0,0.0,0.0,-28.70519,16.95955,-11.97482,9.37,0.92,0.77,3.0
1758079521.51501,1758079521.39704,0.0,0.0,0.0,-27.78845,16.73037,-11.74564,9.63,0.74,0.67,3.0
1758079521.51886,1758079521.40704,0.0,0.0,0.0,-26.12688,16.84496,-11.22997,9.63,0.74,0.67,3.0
1758079521.53427,1758079521.41704,0.0,0.0,0.0,-24.98096,17.13144,-11.17268,9.86,0.62,0.6,3.0
1758079521.55094,1758079521.42704,0.0,0.0,0.0,-23.66316,17.24603,-10.94349,9.86,0.62,0.6,3.0
1758079521.55196,1758079521.43704,0.0,0.0,0.0,-22.86102,16.90226,-10.65701,9.86,0.63,0.57,3.0
1758079521.56701,1758079521.44704,0.0,0.0,0.0,-21.31403,14.32395,-9.4538,9.86,0.63,0.53,3.0
1758079521.56819,1758079521.45704,0.0,0.0,0.0,-21.08485,13.06344,-8.88085,9.58,0.69,0.53,3.0
1758079521.58302,1758079521.46704,0.0,0.0,0.0,-21.31403,11.11538,-8.59437,9.51,0.84,0.66,3.0
1758079521.59895,1758079521.47704,0.0,0.0,0.0,-22.11617,8.65166,-8.47978,9.51,0.84,0.66,3.0
1758079521.60026,1758079521.48704,0.0,0.0,0.0,-24.12152,4.58366,-8.59437,9.36,1.14,0.58,3.0
1758079521.61609,1758079521.49704,0.0,0.0,0.0,-25.89769,1.94806,-8.76626,9.36,1.14,0.58,3.0
1758079521.61703,1758079521.50704,0.0,0.0,0.0,-27.96034,-0.85944,-9.05273,9.44,1.48,0.78,3.0
1758079521.63433,1758079521.51704,0.0,0.0,0.0,-30.30947,-3.66693,-9.62569,9.44,1.48,0.78,3.0
1758079521.65096,1758079521.52704,0.0,0.0,0.0,-33.86181,-7.04738,-10.94349,9.49,1.71,0.89,3.0
1758079521.65309,1758079521.53704,0.0,0.0,0.0,-36.26823,-8.99544,-11.80293,9.56,1.81,0.9,3.0
