epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8802515864372253,0.5137858986854553,0.001,0.9406989812850952,0.37458428740501404
1,0.9583647847175598,0.18830397725105286,0.001,0.9346110224723816,0.2560930550098419
2,0.9654088020324707,0.13446380198001862,0.001,0.9508455395698547,0.1640549749135971
3,0.9684276580810547,0.11112825572490692,0.001,0.9199548959732056,0.21677234768867493
4,0.9695597290992737,0.09900862723588943,0.001,0.9445321559906006,0.1717422902584076
5,0.9774842858314514,0.07502284646034241,0.001,0.9271702170372009,0.19225521385669708
6,0.9793710708618164,0.06900666654109955,0.001,0.9217587113380432,0.21988843381404877
7,0.9762263894081116,0.07569807022809982,0.001,0.9289740920066833,0.17430920898914337
8,0.9864150881767273,0.04591038450598717,0.001,0.9445321559906006,0.18331436812877655
9,0.9852830171585083,0.04700573533773422,0.001,0.89515221118927,0.2676447331905365
10,0.9883018732070923,0.04284533113241196,0.001,0.9366403818130493,0.17712238430976868
11,0.9914465546607971,0.031542953103780746,0.0005,0.9499436020851135,0.15099269151687622
12,0.9922012686729431,0.02517813816666603,0.0005,0.9445321559906006,0.16237947344779968
13,0.99622642993927,0.019679704681038857,0.0005,0.94408118724823,0.17189478874206543
14,0.9948427677154541,0.019275622442364693,0.0005,0.9528748393058777,0.15354257822036743
15,0.995849072933197,0.018364399671554565,0.0005,0.9273957014083862,0.22611024975776672
16,0.9955974817276001,0.019749294966459274,0.0005,0.9546787142753601,0.16198037564754486
17,0.994339644908905,0.018556423485279083,0.0005,0.9149943590164185,0.2847933769226074
18,0.995094358921051,0.02106453664600849,0.0005,0.9235625863075256,0.23304469883441925
19,0.9953458905220032,0.018630478531122208,0.0005,0.9296504855155945,0.227194145321846
20,0.997735857963562,0.011982094496488571,0.00025,0.9431792497634888,0.1800393909215927
21,0.9991195201873779,0.007423289120197296,0.00025,0.9526493549346924,0.15944470465183258
22,0.9987421631813049,0.008310836739838123,0.00025,0.936414897441864,0.192400723695755
23,0.998867928981781,0.006798451766371727,0.00025,0.9470124244689941,0.17414472997188568
24,0.9993710517883301,0.006880981847643852,0.00025,0.9546787142753601,0.15523366630077362
25,0.9982389807701111,0.008443543687462807,0.00025,0.9524239301681519,0.1614570915699005
26,0.998490571975708,0.0083900922909379,0.00025,0.9350619912147522,0.20514114201068878
27,0.998867928981781,0.006638954859226942,0.00025,0.9535512924194336,0.17126528918743134
28,0.9993710517883301,0.005282597616314888,0.000125,0.9526493549346924,0.18074417114257812
29,0.998867928981781,0.005116468295454979,0.000125,0.9470124244689941,0.1989450454711914
