timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758088943.60382,1758088943.61656,0.0,0.0,0.0,-31.91375,13.00614,1.20321,8.52,-1.43,-0.52,2.0
1758088943.62017,1758088943.62656,0.0,0.0,0.0,-26.24147,11.91752,2.92208,9.07,-1.56,-0.64,2.0
1758088943.6245,1758088943.63656,0.0,0.0,0.0,-18.16276,10.37054,6.8182,9.07,-1.56,-0.64,2.0
1758088943.64022,1758088943.64656,0.0,0.0,0.0,-12.83425,8.65166,10.08406,9.55,-1.56,-0.82,2.0
1758088943.64376,1758088943.65656,0.0,0.0,0.0,-8.59437,8.25059,13.06344,9.55,-1.56,-0.82,2.0
1758088943.65922,1758088943.66656,0.0,0.0,0.0,-4.69825,8.93814,15.24068,10.2,-1.4,-1.05,2.0
1758088943.66037,1758088943.67656,0.0,0.0,0.0,-0.0573,9.85487,15.35527,10.4,-1.16,-1.39,2.0
1758088943.67522,1758088943.68656,0.0,0.0,0.0,2.86479,9.62569,13.80828,10.4,-1.16,-1.39,2.0
1758088943.67721,1758088943.69656,0.0,0.0,0.0,5.61499,7.33386,11.00079,9.91,-0.97,-1.56,2.0
1758088943.69445,1758088943.70656,0.0,0.0,0.0,8.65166,2.29183,7.62034,9.91,-0.97,-1.56,2.0
1758088943.71018,1758088943.71656,0.0,0.0,0.0,14.03747,-8.59437,1.77617,9.06,-1.07,-2.02,2.0
1758088943.7138,1758088943.72656,0.0,0.0,0.0,17.47521,-17.6471,-1.66158,9.06,-1.07,-2.02,2.0
1758088943.7299,1758088943.73656,0.0,0.0,0.0,20.74107,-25.43933,-3.89611,8.55,-1.4,-2.32,2.0
1758088943.73111,1758088943.74656,0.0,0.0,0.0,24.80907,-28.99167,-4.29718,8.55,-1.4,-2.32,2.0
1758088943.74626,1758088943.75656,0.0,0.0,0.0,30.48136,-24.12152,-1.3178,9.13,-2.1,-2.26,2.0
1758088943.74774,1758088943.76656,0.0,0.0,0.0,32.88778,-15.46986,1.77617,10.8,-2.44,-1.66,2.0
1758088943.76222,1758088943.77656,0.0,0.0,0.0,34.49206,-10.31324,5.84417,10.8,-2.44,-1.66,2.0
1758088943.77952,1758088943.78656,0.0,0.0,0.0,39.82057,-45.37826,9.39651,10.3,-2.53,0.42,2.0
